gene,logrank_p
CPS1,0.00017892733083377946
MYO18B,0.00018165980660575872
SLC22A1,0.0005658793282482781
CA9,0.0006075736937325244
EPO,0.001270596937661808
RDH16,0.001369392536258609
CFHR4,0.00215924801701965
F9,0.002296204007532003
MOGAT2,0.0023313905829243065
HRG,0.0026784712048982836
LECT2,0.002884549163906014
TAT,0.0030409772180315054
IL8,0.003195777066724243
CFHR3,0.0032894310413930416
ADH1C,0.0034472777348550482
DSG1,0.004027042694022731
SLCO4C1,0.004147942587052455
GYS2,0.007121045995882977
SERPINA7,0.0075394621151800385
SPP1,0.007732750257495071
SERPINC1,0.00784143545088173
ADH4,0.00805027108039782
EPS8L3,0.008848322509981391
SPP2,0.010236706411969825
CXCL1,0.011970236450511939
XIST,0.0126736265552949
C5orf27,0.0133539849988677
CYP2E1,0.013664795371251058
SLC10A1,0.01488843971668175
CD5L,0.01759713569228991
